"","state_fips","county_fips","county.name","Dollars","Rank.in.State","Percent.Change","Rank.in.State.1"
"431",13,111,"Fannin","30,036","92",5.1,"13"
"432",13,113,"Fayette","53,548","2",4.1,"48"
"433",13,115,"Floyd","33,705","34",3.9,"61"
"434",13,117,"Forsyth","48,837","5",3.9,"58"
"435",13,119,"Franklin","33,990","31",4.4,"33"
"436",13,121,"Fulton","64,174","1",3.9,"60"
"437",13,123,"Gilmer","30,288","87",5.9,"7"
"438",13,125,"Glascock","27,016","129",4.5,"28"
"439",13,127,"Glynn","38,341","19",2.2,"113"
"440",13,129,"Gordon","30,872","77",4.1,"53"
"441",13,131,"Grady","29,754","95",1.4,"127"
"442",13,133,"Greene","44,552","8",3.9,"62"
"443",13,135,"Gwinnett","35,374","27",4,"57"
"444",13,137,"Habersham","29,133","104",4.2,"42"
"445",13,139,"Hall","35,491","26",3.5,"81"
"446",13,141,"Hancock","26,399","132",7.7,"2"
"447",13,143,"Haralson","31,007","76",3.8,"67"
"448",13,145,"Harris","44,842","7",4.5,"25"
"449",13,147,"Hart","31,508","70",6.4,"3"
"450",13,149,"Heard","27,145","128",4.8,"18"
"451",13,151,"Henry","33,779","33",4.2,"46"
"452",13,153,"Houston","38,852","17",3.3,"92"
"453",13,155,"Irwin","27,286","127",-6.6,"158"
"454",13,157,"Jackson","34,982","28",4.2,"45"
"455",13,159,"Jasper","31,851","61",6.3,"4"
"456",13,161,"Jeff Davis","30,501","82",4.2,"44"
"457",13,163,"Jefferson","29,652","98",1.2,"129"
"458",13,165,"Jenkins","24,598","149",-1.5,"146"
"459",13,167,"Johnson","22,915","155",2.8,"104"
"460",13,169,"Jones","32,923","43",3.3,"90"
"461",13,171,"Lamar","29,204","102",3.1,"96"
"462",13,173,"Lanier","23,625","152",3.8,"70"
"463",13,175,"Laurens","31,860","60",2.6,"105"
"464",13,177,"Lee","40,795","14",2.5,"107"
"465",13,179,"Liberty","32,448","53",1.2,"131"
"466",13,181,"Lincoln","32,755","48",4.5,"26"
"467",13,183,"Long","22,221","156",1.3,"128"
"468",13,185,"Lowndes","33,067","39",3.5,"82"
"469",13,187,"Lumpkin","30,397","85",4.6,"24"
"470",13,189,"McDuffie","32,120","57",4.3,"36"
"471",13,191,"McIntosh","24,529","150",2.2,"114"
"472",13,193,"Macon","28,745","111",5.9,"6"
"473",13,195,"Madison","32,201","56",4.4,"34"
"474",13,197,"Marion","24,768","148",3.2,"94"
"475",13,199,"Meriwether","30,836","78",4.6,"22"
"476",13,201,"Miller","33,510","36",-5.9,"157"
"477",13,205,"Mitchell","30,209","89",-1.1,"143"
